Station_Name,Latitude_N,Longitude_W,Date,Temperature,Salinity,Pressure_db,DIC_Umolkg,Alk_Umolkg,Phos_Umolkg,Sil_Umolkg
HOT_36,22.75,-158,04/17/1992,23.649,35.086,30,1977.5,2306,0.09,1.52
HOT_37,22.75,-158,06/09/1992,25.698,34.82,30,1957,2306,0.1,0.95
HOT_38,22.75,-158,07/05/1992,25.429,35.141,30,1976.13,2315,0.07,1.23
HOT_39,22.75,-158,08/05/1992,26.054,34.939,30,1957.2,2297,0.03,0.94
HOT_40,22.75,-158,09/23/1992,26.312,35.052,30,1967.8,2311,0.05,0.72
HOT_41,22.75,-158,10/20/1992,26.554,35.063,30,1965.85,2307,0.04,0.86
HOT_42,22.75,-158,11/24/1992,25.694,34.77,30,1946.8,2287,0.11,1.07
HOT_43,22.75,-158,12/16/1992,24.845,34.83,30,1955.5,2296,0.11,1.15
HOT_44,22.75,-158,01/20/1993,23.123,35.019,30,1968.78,2307.5,0.05,1.22
HOT_45,22.75,-158,02/17/1993,23.666,34.888,30,1960.8,2301.5,0.07,1.39
HOT_46,22.75,-158,04/15/1993,23.492,35.061,30,1976.7,2301.5,0.05,1.41
HOT_47,22.75,-158,05/21/1993,23.877,35.065,30,1975.25,2306,0.02,1.08
HOT_48,22.75,-158,07/26/1993,NaN,NaN,30,NaN,NaN,NaN,NaN
HOT_49,22.75,-158,09/15/1993,26.456,35.278,30,1981.9,2321,0.04,0.94
HOT_50,22.75,-158,10/30/1993,25.688,35.302,30,1971.8,2311.7,0.04,1.01
HOT_51,22.75,-158,01/20/1994,22.747,35.173,30,1979.9,2328.7,0.05,1.47
HOT_52,22.75,-158,02/17/1994,22.766,35.046,30,1974.47,2311,0.08,1.79
HOT_53,22.75,-158,03/09/1994,23.525,35.104,30,1981.16,2316.2,0.06,1.82
HOT_54,22.75,-158,06/19/1994,24.85,34.842,30,1960.55,2292,0.07,1.22
HOT_55,22.75,-158,07/25/1994,25.551,34.902,30,1960.17,2288,0.06,1.27
HOT_56,22.75,-158,08/30/1994,26.318,34.904,30,1953.1,2289.8,0.05,1.82
HOT_57,22.75,-158,09/23/1994,26.441,34.843,30,1952.88,2289.8,0.07,0.81
HOT_58,22.75,-158,10/15/1994,26.164,34.922,30,1959.55,2295.3,0.06,1.08
HOT_59,22.75,-158,11/19/1994,25.2,34.985,30,1964.83,2303.5,0.03,1.52
HOT_60,22.75,-158,02/06/1995,23.367,34.388,30,1941.78,2257.5,0.16,2.06
HOT_61,22.75,-158,03/04/1995,23.086,34.711,30,1963.2,2286,0.11,1.49
HOT_62,22.75,-158,04/06/1995,23.826,34.493,30,1952.03,2270.3,0.13,1.42
HOT_63,22.75,-158,05/07/1995,23.294,34.773,30,1960.8,2284.5,0.11,1.3
HOT_64,22.75,-158,07/30/1995,25.648,34.883,30,1961.23,2295.5,0.08,1.21
HOT_65,22.75,-158,08/29/1995,25.944,34.936,30,1961,2298.5,0.06,1.41
HOT_66,22.75,-158,09/26/1995,26.821,34.893,30,1956.5,2299,0.07,1.7
HOT_67,22.75,-158,10/27/1995,26.054,35.037,30,1962.3,2306.5,0.02,0.91
HOT_68,22.75,-158,11/17/1995,25.659,34.948,30,1957,2305.5,0.07,0.92
HOT_69,22.75,-158,01/17/1996,24.764,34.957,30,1959.4,2294.5,0.1,1.1
HOT_70,22.75,-158,03/27/1996,23.186,34.85,30,1969.15,2291.5,0.09,1.09
HOT_71,22.75,-158,04/24/1996,24.153,34.752,30,1961.31,2288,0.11,1.27
HOT_72,22.75,-158,05/22/1996,25.172,34.845,30,1964.9,2295,0.1,1.48
HOT_73,22.75,-158,06/26/1996,26.327,34.473,30,1937.9,2270.5,0.12,1.71
HOT_74,22.75,-158,07/27/1996,26.293,34.589,30,1944,2277,0.08,1.21
HOT_75,22.75,-158,08/21/1996,26.953,34.732,30,1946.25,2283.5,0.09,1.86
HOT_76,22.75,-158,10/02/1996,27.277,34.866,30,1950,2292.7,0.05,1.24
HOT_77,22.75,-158,10/30/1996,26.516,35.035,30,1960.57,2304.3,0.06,1.56
HOT_78,22.75,-158,12/11/1996,24.235,34.97,30,1966.9,2293.3,0.04,1.87
HOT_79,22.75,-158,01/08/1997,23.48,34.944,30,1970.1,2295,0.08,1.68
HOT_80,22.75,-158,02/18/1997,23.894,34.929,30,1975.07,2288,0.08,1.64
HOT_81,22.75,-158,03/12/1997,23.117,35.033,30,1976.53,2301.7,0.06,1.72
HOT_82,22.75,-158,04/09/1997,23.432,34.962,30,1972.23,2300.7,0.07,1.68
HOT_83,22.75,-158,05/07/1997,24.695,34.875,30,1964.5,2294.3,0.1,1.41
HOT_84,22.75,-158,06/04/1997,25.249,34.885,30,1958.07,2296.3,0.07,0.91
HOT_85,22.75,-158,07/09/1997,25.525,35.05,30,1972.8,2305.7,0.04,1.58
HOT_86,22.75,-158,08/02/1997,25.874,35.115,30,1975.3,2312.3,0.06,1.08
HOT_87,22.75,-158,09/25/1997,26.8,35.224,30,1976.2,2318,0.04,1.15
HOT_88,22.75,-158,12/05/1997,24.451,35.152,30,1975.6,2311.7,0.06,1.64
HOT_89,22.75,-158,01/11/1998,23.509,35.144,30,1982.1,2310,0.07,1.34
HOT_90,22.75,-158,02/19/1998,22.859,35.243,30,1990.97,2316.7,0.09,1.22
HOT_91,22.75,-158,03/18/1998,24.462,35.166,30,1979.9,2314,0.1,1.34
HOT_92,22.75,-158,04/15/1998,23.302,35.214,30,1991.35,2317.5,0.07,1.57
HOT_93,22.75,-158,05/13/1998,23.044,35.288,30,1995.35,2318,0.08,1.28
HOT_94,22.75,-158,06/17/1998,24.18,35.287,30,1994.8,2321.3,0.09,1.51
HOT_95,22.75,-158,07/15/1998,24.288,35.381,30,2000.1,2320,0.05,1.15
HOT_96,22.75,-158,08/10/1998,25.293,35.169,30,1983.55,2311,0.09,1.1
HOT_97,22.75,-158,09/28/1998,25.495,35.292,30,1992.9,2320.5,0.08,1.32
HOT_98,22.75,-158,10/19/1998,25.687,35.354,30,1986.83,2320.3,0.07,1.37
HOT_99,22.75,-158,11/11/1998,25.222,35.446,30,1996.63,2327.7,0.05,1.12
HOT_100,22.75,-158,12/09/1998,23.742,35.3,30,1996.63,2319.7,0.08,1.18
HOT_101,22.75,-158,01/13/1999,23.462,35.248,30,1998.53,2315,0.12,1.5
HOT_102,22.75,-158,02/18/1999,23.108,35.36,30,2006.4,2328,0.12,1.65
HOT_103,22.75,-158,03/17/1999,23.337,35.176,30,1984.87,2329.3,0.09,1.32
HOT_104,22.75,-158,04/14/1999,22.615,35.348,30,2002.53,2334.5,0.13,1.66
HOT_105,22.75,-158,05/10/1999,23.666,35.369,30,2008.23,2336,0.09,1.51
HOT_106,22.75,-158,07/14/1999,25.066,34.947,30,1971.4,2301.5,0.11,1.52
HOT_107,22.75,-158,08/13/1999,25.406,35.283,30,1992.47,2319,0.07,1.84
HOT_108,22.75,-158,10/15/1999,25.745,35.123,30,1981.45,2305.5,0.09,1.27
HOT_109,22.75,-158,11/09/1999,25.364,35.326,30,1994.5,2325.7,0.05,1.27
HOT_110,22.75,-158,12/15/1999,24.126,35.207,30,1993.9,2311,0.11,1.27
HOT_111,22.75,-158,02/03/2000,22.971,35.375,30,2001.35,2319,0.11,1.38
HOT_112,22.75,-158,03/01/2000,23.463,35.19,30,1994.55,2313.5,0.12,1.31
HOT_113,22.75,-158,03/29/2000,23.447,35.368,30,2000.35,2321,0.09,1.19
HOT_114,22.75,-158,04/26/2000,23.846,34.914,30,1980.85,2299.5,0.1,2.05
HOT_115,22.75,-158,05/25/2000,24.783,34.952,30,1980.4,2291,0.1,1.58
HOT_116,22.75,-158,06/21/2000,25.408,35.191,30,1989.2,2319.5,0.08,0.97
HOT_117,22.75,-158,07/26/2000,25.851,35.309,30,1986.95,2325.5,0.05,0.78
HOT_118,22.75,-158,08/23/2000,25.928,35.453,30,1992.35,2330.5,0.06,1.31
HOT_119,22.75,-158,10/18/2000,25.739,35.348,30,1992.15,2317,0.08,1.54
HOT_120,22.75,-158,11/30/2000,24.906,35.028,30,1980,2311,0.11,1.54
HOT_121,22.75,-158,12/20/2000,24.749,34.933,30,1973.6,2299.5,0.12,1.74
HOT_122,22.75,-158,01/17/2001,24.403,35.08,30,1983.75,2309,0.12,1.6
HOT_123,22.75,-158,02/14/2001,23.354,35.313,30,1999.45,2314.5,0.07,1.59
HOT_124,22.75,-158,03/21/2001,23.693,35.041,30,1984.1,2299.5,0.1,1.87
HOT_125,22.75,-158,04/18/2001,23.565,35.142,30,1990.4,2309,0.1,1.59
HOT_126,22.75,-158,05/16/2001,23.788,35.237,30,1995.15,2318,0.09,1.59
HOT_127,22.75,-158,06/14/2001,24.926,35.246,30,1988.6,2325,0.04,1.52
HOT_128,22.75,-158,07/11/2001,25.967,35.111,30,1973.6,2309,0.04,1.35
HOT_129,22.75,-158,08/08/2001,25.73,35.23,30,1985.6,2314,0.03,1.52
HOT_130,22.75,-158,10/02/2001,26.165,35.359,30,1986.25,2315,0.02,1.39
HOT_131,22.75,-158,10/23/2001,25.464,35.41,30,1993.9,2331,0.04,1.11
HOT_132,22.75,-158,11/17/2001,25.215,35.24,30,1982.65,2309.5,0.03,1.23
HOT_133,22.75,-158,12/14/2001,24.397,35.218,30,1990.75,2317.5,0.01,1.25
HOT_134,22.75,-158,01/16/2002,23.693,35.302,30,1998.05,2321.5,0.03,1.22
HOT_135,22.75,-158,02/21/2002,22.994,35.26,30,1997.4,2321.5,0.03,1.38
HOT_136,22.75,-158,03/13/2002,22.867,35.352,30,2007,2332,0.03,1.29
HOT_137,22.75,-158,05/21/2002,24.71,34.919,30,1978.3,2296.5,0.03,1.12
HOT_138,22.75,-158,06/29/2002,25.667,34.913,30,1971.3,2291.5,0.02,0.84
HOT_139,22.75,-158,08/28/2002,26.328,34.959,30,1970.05,2297,0.06,1.07
HOT_140,22.75,-158,10/07/2002,26.392,35.067,30,1967.85,2307,0.04,1.04
HOT_141,22.75,-158,11/04/2002,25.977,35.181,30,1974,2311.5,0.02,1.04
HOT_142,22.75,-158,11/25/2002,25.341,35.259,30,1981.1,2313.5,0.02,1.03
HOT_143,22.75,-158,12/19/2002,24.455,35.319,30,1986.4,2315,0.02,0.98
HOT_144,22.75,-158,01/17/2003,23.687,35.344,30,1995.1,2323,0.02,1.03
HOT_145,22.75,-158,02/26/2003,23.348,35.323,30,1997.05,2322.5,0.01,1.05
HOT_146,22.75,-158,03/29/2003,23.574,35.317,30,1997.75,2324,0.04,1.07
HOT_147,22.75,-158,04/24/2003,24.679,35.037,30,1973.7,2302.5,0.03,1.04
HOT_148,22.75,-158,05/21/2003,25.097,35.031,30,1976.2,2305.5,0.04,0.77
HOT_149,22.75,-158,06/20/2003,25.832,35.173,30,1978.2,2311,0.04,0.81
HOT_150,22.75,-158,07/20/2003,26.078,35.325,30,1989.35,2324,0.03,1.59
HOT_151,22.75,-158,08/21/2003,26.25,34.869,30,1967,2300.5,0.03,1.11
HOT_152,22.75,-158,10/15/2003,26.775,35.045,30,1967.75,2311.5,0.02,0.73
HOT_153,22.75,-158,11/10/2003,26.469,35.198,30,1973.15,2316.5,0.05,0.84
HOT_154,22.75,-158,12/20/2003,24.139,35.324,30,1986.9,2326,0.01,1.01
HOT_155,22.75,-158,01/22/2004,24.108,35.198,30,1986.05,2312,0.01,1.03
HOT_156,22.75,-158,02/25/2004,24.506,35.001,30,1978.95,2315.5,0.04,1.01
HOT_157,22.75,-158,03/20/2004,23.036,35.242,30,1991.5,2326.5,0.01,1.07
HOT_158,22.75,-158,04/21/2004,23.982,34.992,30,1978,2301.5,0.06,1.07
HOT_159,22.75,-158,05/19/2004,25.47,34.607,30,1956.15,2281.5,0.05,1.05
HOT_160,22.75,-158,06/16/2004,25.739,34.726,30,1960.25,2288,0.03,1.21
HOT_161,22.75,-158,07/13/2004,26.486,34.61,30,1952.4,2275.5,0.01,0.98
HOT_162,22.75,-158,08/16/2004,26.893,34.867,30,1961.35,2292.5,0.02,0.82
HOT_163,22.75,-158,09/29/2004,27.4,34.894,30,1956.75,2292.5,0.02,0.85
HOT_164,22.75,-158,10/31/2004,26.059,35.177,30,1980.75,2317,0.01,0.79
HOT_165,22.75,-158,11/28/2004,26.345,34.964,30,1957,2296,0.03,0.83
HOT_166,22.75,-158,12/21/2004,25.245,34.956,30,1971.3,2307,0.03,0.93
HOT_167,22.75,-158,02/02/2005,24.052,34.999,30,1974.85,2297,0.02,0.86
HOT_168,22.75,-158,03/05/2005,23.973,35.007,30,1976.85,2305.5,0.03,1.04
HOT_169,22.75,-158,05/18/2005,25.164,34.906,30,1975.55,2304,0.05,1.28
HOT_170,22.75,-158,06/15/2005,25.127,35.266,30,1994.35,2321.5,0.06,1.13
HOT_171,22.75,-158,07/17/2005,25.888,35.015,30,1983.5,2305,0.03,0.98
HOT_172,22.75,-158,08/14/2005,26.281,35.103,30,1980.5,2312.5,0.04,1.35
HOT_173,22.75,-158,09/10/2005,26.751,35.031,30,1982.05,2308,0.05,0.87
HOT_174,22.75,-158,10/09/2005,26.25,35.173,30,1980.9,2315,0.03,1.06
HOT_175,22.75,-158,11/12/2005,25.272,35.077,30,1983,2311,0.03,0.96
HOT_176,22.75,-158,12/13/2005,24.947,35.185,30,1985.5,2314.5,0.02,1.06
HOT_177,22.75,-158,01/25/2006,23.55,35.265,30,1989.18,2322,0.07,0.9
HOT_178,22.75,-158,02/15/2006,23.149,35.202,30,1999.02,2315.7,0.03,0.87
HOT_179,22.75,-158,03/10/2006,23.233,35.111,30,1993.4,2318.5,0.05,0.83
HOT_180,22.75,-158,04/02/2006,23.534,34.863,30,1964.52,2284.4,0.04,0.76
HOT_181,22.75,-158,05/27/2006,23.516,35.214,30,1999.22,2316.3,0.01,0.72
HOT_182,22.75,-158,06/14/2006,25.803,34.873,30,1972.35,2289.4,0.04,0.6
HOT_183,22.75,-158,07/13/2006,25.311,34.903,30,1976.86,2300.4,0.08,0.85
HOT_184,22.75,-158,08/09/2006,26.327,34.892,30,1966.93,2294,0.07,0.65
HOT_185,22.75,-158,09/16/2006,26.488,35.164,30,1980.88,2316.9,0.02,0.81
HOT_186,22.75,-158,10/21/2006,26.198,35.128,30,1983.22,2309.8,0.02,0.58
HOT_187,22.75,-158,11/09/2006,25.955,35.091,30,1979.68,2309.6,0.03,0.87
HOT_188,22.75,-158,12/10/2006,24.903,35.238,30,1984.29,2314.5,0.01,0.53
HOT_189,22.75,-158,02/07/2007,23.776,35.209,30,1989,2317.5,0.02,1.07
HOT_190,22.75,-158,03/21/2007,23.429,35.161,30,1993.95,2314,0.02,1.4
HOT_191,22.75,-158,05/05/2007,24.63,34.86,30,1979.43,2296.3,0.08,1.21
HOT_192,22.75,-158,06/10/2007,25.506,34.929,30,NaN,NaN,0.08,1.16
HOT_193,22.75,-158,07/08/2007,25.655,35.063,30,1986.6,2304.3,0.04,1.45
HOT_194,22.75,-158,08/04/2007,26.406,35.028,30,1980.25,2306.5,0.05,0.99
HOT_195,22.75,-158,09/03/2007,26.54,35.135,30,1984.05,2310,0.05,1.26
HOT_196,22.75,-158,10/03/2007,26.09,35.083,30,1985.3,2308,0.05,1.23
HOT_197,22.75,-158,12/02/2007,25.082,35.036,30,1985.25,2300,0.05,1.04
HOT_198,22.75,-158,12/21/2007,24.501,35.032,30,1987.75,2309,0.06,1.45
HOT_199,22.75,-158,01/30/2008,23.085,35.177,30,2000.65,2317,0.05,0.92
HOT_200,22.75,-158,02/24/2008,23.516,35.181,30,1998.9,2319.5,0.06,1.22
HOT_201,22.75,-158,05/28/2008,25.138,34.957,30,1987.45,2303.5,0.08,1.33
HOT_202,22.75,-158,06/26/2008,25.518,35.063,30,1986.1,2309.5,0.06,1.44
HOT_203,22.75,-158,07/27/2008,25.864,34.945,30,1985.05,2304,0.09,1.19
HOT_204,22.75,-158,08/17/2008,26.009,35.044,30,1979.05,2306,0.05,0.94
HOT_205,22.75,-158,10/11/2008,26.275,35.296,30,1985.9,2323.5,0.01,1.07
HOT_206,22.75,-158,12/01/2008,24.922,35.21,30,1995.4,2320.5,0.02,1.07
HOT_207,22.75,-158,12/15/2008,NaN,NaN,30,NaN,NaN,NaN,NaN
HOT_208,22.75,-158,01/21/2009,23.401,35.336,30,2001.4,2325,0.02,1.1
HOT_209,22.75,-158,02/18/2009,22.907,35.306,30,2006.6,2331.5,0.04,1.01
HOT_210,22.75,-158,04/29/2009,22.883,35.249,30,2013.2,2325.5,0.05,1.02
HOT_211,22.75,-158,05/28/2009,24.445,35.399,30,2013.55,2329,0.03,0.99
HOT_212,22.75,-158,07/04/2009,25.49,35.095,30,2000.55,2321.5,0.12,1.22
HOT_213,22.75,-158,07/25/2009,25.774,35.152,30,2001.35,2319.5,0.1,1.21
HOT_214,22.75,-158,08/19/2009,26.122,35.21,30,1999.55,2323.5,0.06,0.91
HOT_215,22.75,-158,09/25/2009,26.494,35.472,30,2013.05,2339.5,0.04,1.01
HOT_216,22.75,-158,11/04/2009,26.168,35.29,30,1997.85,2326.5,0.09,1.13
HOT_217,22.75,-158,12/10/2009,24.417,35.366,30,2009.2,2331,0.07,1.13
HOT_218,22.75,-158,02/15/2010,NaN,NaN,30,NaN,NaN,NaN,NaN
HOT_219,22.75,-158,03/10/2010,23.403,35.256,30,2005.85,2327.5,0.09,1.28
HOT_220,22.75,-158,04/07/2010,23.35,35.266,30,2008.1,2329.5,0.09,1.13
HOT_221,22.75,-158,05/19/2010,24.282,35.269,30,2007,2329,0.09,1.04
HOT_222,22.75,-158,06/09/2010,24.615,35.47,30,2017.6,2335.5,0.05,1.15
HOT_223,22.75,-158,07/09/2010,25.749,35.222,30,2003.25,2330,0.06,0.95
HOT_224,22.75,-158,08/08/2010,25.455,35.175,30,1997.1,2325.5,0.09,1.05
HOT_225,22.75,-158,09/04/2010,25.632,35.23,30,1998.2,2322.5,0.09,1.17
HOT_226,22.75,-158,10/04/2010,26.033,35.283,30,1997.05,2323,0.08,1.08
HOT_227,22.75,-158,11/21/2010,25.071,35.171,30,1996.45,2316,0.1,1.09
HOT_228,22.75,-158,01/09/2011,23.8,35.409,30,NaN,NaN,0.05,1.04
HOT_229,22.75,-158,01/29/2011,23.7,35.383,30,2011.95,2333,0.04,1.04
HOT_230,22.75,-158,03/01/2011,24.313,35.223,30,1997.3,2323.5,0.06,1.03
HOT_231,22.75,-158,04/12/2011,23.985,35.1,30,1992.85,2312,0.09,1.17
HOT_232,22.75,-158,05/10/2011,24.235,35.299,30,2002.65,2321,0.03,0.97
HOT_233,22.75,-158,07/20/2011,25.302,34.961,30,1984.5,2302,0.09,1.03
HOT_234,22.75,-158,08/30/2011,25.873,35.246,30,1989.3,2317,0.07,1.26
HOT_235,22.75,-158,09/27/2011,26.158,35.22,30,1993.15,2319,0.07,0.99
HOT_236,22.75,-158,11/05/2011,25.823,35.21,30,1989.15,2313,0.04,0.77
HOT_237,22.75,-158,11/29/2011,24.672,35.215,30,1995.75,2317.5,0.08,0.82
HOT_238,22.75,-158,12/20/2011,23.985,35.282,30,2005.5,2322.5,0.06,0.92
HOT_239,22.75,-158,01/19/2012,23.62,35.218,30,2007.6,2325,0.1,1.04
HOT_240,22.75,-158,03/25/2012,23.093,35.169,30,2008.7,2322.5,0.09,1.15
HOT_241,22.75,-158,05/02/2012,23.478,35.117,30,2008.95,2318.5,0.15,1.2
HOT_242,22.75,-158,05/31/2012,24.248,35.146,30,2005.25,2318,0.12,1.11
HOT_243,22.75,-158,06/27/2012,24.367,35.218,30,2012.75,2324,0.12,0.91
HOT_244,22.75,-158,08/01/2012,25.041,35.153,30,2007.85,2318,0.12,1.28
HOT_245,22.75,-158,08/18/2012,25.305,35.184,30,2000,2308,0.15,1.24
HOT_246,22.75,-158,09/15/2012,25.527,35.027,30,1998.75,2306,0.17,1.23
HOT_247,22.75,-158,10/08/2012,25.611,35.086,30,2000.85,2317,0.15,1.27
HOT_248,22.75,-158,12/04/2012,24.823,35.344,30,2013.8,2333,0.09,1.14
HOT_249,22.75,-158,02/13/2013,23.137,35.353,30,2019.65,2331,0.12,1.17
HOT_250,22.75,-158,03/07/2013,22.729,35.413,30,2024.5,2334,0.09,1.28
HOT_251,22.75,-158,04/06/2013,22.715,35.429,30,2028.3,2337,0.08,1.26
HOT_252,22.75,-158,05/18/2013,24.946,34.876,30,1995.3,2301.5,0.18,1.22
HOT_253,22.75,-158,06/26/2013,25.198,35.182,30,2007.85,2321,0.13,1.21
HOT_254,22.75,-158,09/12/2013,26.944,35.485,30,2009.15,2337,0.06,1.04
HOT_255,22.75,-158,10/02/2013,26.459,35.247,30,1999,2328,0.1,1.03
HOT_256,22.75,-158,10/28/2013,26.495,35.205,30,1998.8,2323,0.12,1.13
HOT_257,22.75,-158,11/27/2013,25.565,35.416,30,2009.15,2338.5,0.06,1.05
HOT_258,22.75,-158,12/21/2013,24.988,35.422,30,2007.9,2337.5,0.05,1
HOT_259,22.75,-158,01/16/2014,24.157,35.466,30,2017.95,2340,0.05,0.91
HOT_260,22.75,-158,02/15/2014,23.383,35.394,30,2018.1,2336.5,0.06,0.99
HOT_261,22.75,-158,03/06/2014,24.111,35.237,30,2006.75,2324.5,0.12,1.04
HOT_262,22.75,-158,04/11/2014,23.37,35.318,30,2013.9,2329,0.08,1.15
HOT_263,22.75,-158,06/01/2014,24.93,35.331,30,2006,2329,0.07,1.11
HOT_264,22.75,-158,07/01/2014,25.676,35.256,30,2004.55,2324,0.08,0.96
HOT_265,22.75,-158,09/15/2014,27.345,34.955,30,1980.8,2299.5,0.14,1.32
HOT_266,22.75,-158,10/14/2014,27.572,34.99,30,1979.6,2307.5,0.11,1.27
HOT_267,22.75,-158,11/22/2014,26.205,35.356,30,1995.8,2328,0.04,0.97
HOT_268,22.75,-158,12/17/2014,24.636,35.327,30,2007.85,2327.5,0.08,0.51
HOT_269,22.75,-158,02/25/2015,24.001,35.219,30,2008.45,2323.5,0.11,2.12
HOT_270,22.75,-158,03/29/2015,23.588,35.288,30,2013.35,2325,0.09,1.69
HOT_271,22.75,-158,04/22/2015,24.261,35.12,30,1999,2317.5,0.1,1.2
HOT_272,22.75,-158,05/24/2015,24.515,35.119,30,2006.1,2324,0.11,1.63
HOT_273,22.75,-158,06/20/2015,25.476,35.095,30,1995.25,2309,0.09,1.54
HOT_274,22.75,-158,07/20/2015,26.705,35.158,30,1996.4,2312.5,0.07,1.55
HOT_275,22.75,-158,08/13/2015,27.094,35.297,30,2001.95,2331.5,0.05,1.14
HOT_276,22.75,-158,09/26/2015,NaN,NaN,30,NaN,NaN,NaN,NaN
HOT_277,22.75,-158,10/14/2015,26.101,35.253,30,1997.45,2323,0.04,1
HOT_278,22.75,-158,11/14/2015,25.864,35.194,30,1994.5,2319,0.05,1.58
HOT_279,22.75,-158,12/09/2015,25.754,35.003,30,1982.8,2306,0.06,1.06
HOT_280,22.75,-158,01/13/2016,24.974,34.924,30,1983.05,2305,0.07,1.28
HOT_281,22.75,-158,02/10/2016,24.566,35.029,30,1990.7,2310,0.05,1.25
HOT_282,22.75,-158,03/09/2016,24.349,35.071,30,1995.75,2315,0.07,1.14
HOT_283,22.75,-158,04/15/2016,24.409,34.835,30,1986.65,2300,0.1,1.29
HOT_284,22.75,-158,05/29/2016,25.839,34.879,30,1984.45,2303,0.09,1.43
HOT_285,22.75,-158,07/12/2016,25.852,34.905,30,1985.6,2300.5,0.08,1.26
HOT_286,22.75,-158,08/10/2016,26.196,34.894,30,1983.6,2301,0.07,1.04
HOT_287,22.75,-158,10/16/2016,26.237,34.93,30,1987.4,2304.5,0.07,1.06
HOT_288,22.75,-158,11/27/2016,24.968,35.123,30,1996.1,2311.5,0.05,1.27
HOT_289,22.75,-158,01/24/2017,23.607,35.069,30,2003,2307,0.08,1.2
HOT_290,22.75,-158,02/23/2017,23.624,34.964,30,1994.9,2300,0.08,1.17
HOT_291,22.75,-158,03/29/2017,24.32,34.969,30,1991.2,2305,0.06,1.16
HOT_292,22.75,-158,04/26/2017,25.023,34.877,30,1987.6,2299,0.07,1.69
HOT_293,22.75,-158,05/24/2017,25.279,34.864,30,1986.5,2299,0.06,1.16
HOT_294,22.75,-158,06/21/2017,26.213,34.786,30,1975.8,2287.5,0.06,1.1
HOT_295,22.75,-158,08/09/2017,27.089,34.927,30,1978.75,2299.5,0.04,1.47
